Barometer log
 {data} {ASL}
10588.9570312 678.98236084
11169.0849609 679.829101562
11339.1359863 680.047119141
11514.1958008 680.208496094
11735.5048828 680.54510498
11939.8937988 680.607788086
12159.5979004 680.753540039
12329.0148926 680.917724609
12549.7128906 680.988586426
12719.8728027 681.320861816
12942.1218262 681.274291992
13162.329834 681.096069336
13333.4377441 681.161132812
13553.815918 681.059265137
13723.0368652 681.04119873
13945.5429688 680.807373047
14367.8669434 680.726989746
14535.3349609 680.463623047
14755.3688965 680.63659668
14923.8898926 680.607055664
15142.3840332 680.706665039
15309.9980469 680.712890625
15530.3249512 680.712524414
15749.5778809 680.898803711
15916.8017578 680.618164062
16136.2180176 680.769592285
16356.5588379 680.749694824
16727.9638672 680.656982422
17349.1938477 680.566162109
17724.2600098 680.456176758
17943.7709961 680.331237793
18164.4348145 680.468688965
18333.7319336 680.572021484
18504.2658691 680.943969727
18724.5998535 681.279052734
18945.7558594 681.660522461
19114.1787109 681.296264648
19333.8769531 681.164550781
19502.1240234 680.862304688
19720.8049316 681.235900879
19941.1809082 681.194213867
20160.4558105 682.283691406
20330.8269043 681.40411377
20553.1948242 681.602966309
20722.7060547 683.259643555
20944.9387207 683.787841797
21115.8708496 682.924072266
21333.9189453 683.504760742
21756.3381348 682.626281738
